0,1,2,3,4,5,6,7,8,9
514928,1.0,1.0,6.0,0.0,2.0,0.0,1.0,23.0,1
515151,0.0,4.0,9.0,1.0,3.0,0.0,3.0,19.0,0
515233,1.0,3.0,11.0,1.0,8.0,0.0,2.0,18.0,1
515289,0.0,0.0,8.0,0.0,1.0,0.0,2.0,6.0,0
515762,0.0,3.0,10.0,0.0,0.0,0.0,0.0,20.0,0
515843,1.0,1.0,13.0,0.0,7.0,0.0,3.0,22.0,1
516135,2.0,3.0,4.0,1.0,7.0,0.0,3.0,12.0,1
516417,1.0,1.0,7.0,1.0,3.0,0.0,2.0,25.0,0
516517,2.0,4.0,6.0,0.0,0.0,0.0,0.0,27.0,0
1001335,0.0,1.0,7.0,0.0,5.0,0.0,1.0,14.0,1
1001444,2.0,2.0,8.0,1.0,0.0,0.0,2.0,20.0,0
1001636,1.0,1.0,9.0,0.0,4.0,0.0,1.0,15.0,0
1001877,1.0,3.0,12.0,0.0,0.0,0.0,1.0,19.0,0
1001918,1.0,0.0,16.0,0.0,10.0,0.0,1.0,12.0,1
1002013,2.0,1.0,6.0,0.0,1.0,0.0,1.0,14.0,1
1002242,3.0,3.0,7.0,1.0,3.0,0.0,0.0,25.0,0
1002281,0.0,2.0,3.0,1.0,1.0,0.0,0.0,18.0,0
1002422,0.0,2.0,10.0,0.0,3.0,0.0,0.0,18.0,0
1002648,0.0,2.0,8.0,0.0,1.0,0.0,2.0,22.0,0
1002655,4.0,1.0,14.0,0.0,0.0,0.0,0.0,15.0,1
1003016,1.0,1.0,8.0,1.0,1.0,0.0,0.0,21.0,0
1003158,1.0,7.0,7.0,0.0,2.0,0.0,2.0,20.0,0
2001299,5.0,3.0,7.0,0.0,0.0,0.0,0.0,25.0,1
2001521,0.0,4.0,6.0,2.0,0.0,0.0,1.0,16.0,0
2001541,1.0,1.0,11.0,0.0,1.0,0.0,0.0,21.0,0
2004828,1.0,1.0,5.0,0.0,1.0,0.0,1.0,17.0,1
2005036,0.0,3.0,7.0,0.0,6.0,0.0,3.0,19.0,1
2005133,1.0,2.0,18.0,0.0,0.0,0.0,3.0,18.0,0
2008165,2.0,1.0,10.0,0.0,0.0,0.0,2.0,11.0,0
2016938,0.0,0.0,8.0,0.0,2.0,0.0,1.0,18.0,1
509907,2.0,2.0,3.0,4.0,1.0,0.0,1.0,30.0,0
509921,1.0,0.0,12.0,1.0,0.0,0.0,0.0,18.0,1
509969,3.0,4.0,6.0,0.0,6.0,0.0,5.0,11.0,1
509997,2.0,1.0,9.0,0.0,3.0,0.0,0.0,21.0,0
510196,2.0,0.0,2.0,1.0,0.0,0.0,0.0,19.0,0
510275,4.0,3.0,8.0,0.0,1.0,0.0,1.0,17.0,1
510401,3.0,1.0,4.0,0.0,0.0,0.0,0.0,14.0,0
510410,1.0,2.0,1.0,0.0,1.0,0.0,0.0,15.0,0
510422,1.0,0.0,6.0,0.0,4.0,0.0,0.0,14.0,0
510457,0.0,4.0,9.0,1.0,3.0,0.0,3.0,15.0,0
510500,3.0,1.0,7.0,0.0,7.0,0.0,1.0,25.0,0
510688,4.0,2.0,3.0,1.0,0.0,0.0,0.0,19.0,0
510734,1.0,1.0,7.0,0.0,1.0,0.0,0.0,9.0,1
510849,2.0,0.0,10.0,0.0,0.0,0.0,2.0,14.0,0
510881,1.0,2.0,14.0,1.0,6.0,0.0,2.0,17.0,0
510910,3.0,0.0,6.0,1.0,5.0,0.0,2.0,12.0,1
510918,0.0,2.0,10.0,0.0,5.0,0.0,0.0,12.0,0
510999,2.0,3.0,6.0,0.0,1.0,0.0,0.0,19.0,1
511250,0.0,0.0,8.0,0.0,0.0,0.0,0.0,9.0,0
511447,1.0,1.0,4.0,0.0,4.0,0.0,1.0,12.0,1
511512,2.0,2.0,7.0,0.0,0.0,0.0,1.0,24.0,0
511665,1.0,2.0,6.0,0.0,1.0,0.0,1.0,17.0,1
511862,1.0,5.0,7.0,0.0,1.0,0.0,0.0,15.0,0
513033,0.0,0.0,6.0,0.0,0.0,0.0,0.0,22.0,0
513058,0.0,0.0,5.0,1.0,0.0,0.0,0.0,14.0,0
513324,2.0,2.0,10.0,0.0,1.0,0.0,2.0,15.0,0
513762,2.0,3.0,9.0,0.0,10.0,0.0,1.0,21.0,0
513935,1.0,5.0,9.0,0.0,8.0,0.0,3.0,19.0,1
513969,1.0,1.0,8.0,0.0,8.0,0.0,3.0,8.0,0
514007,0.0,6.0,2.0,1.0,4.0,0.0,2.0,25.0,0
514819,0.0,1.0,3.0,1.0,5.0,0.0,2.0,14.0,0
512508,2.0,3.0,4.0,1.0,0.0,0.0,1.0,31.0,0
513210,0.0,4.0,9.0,0.0,1.0,0.0,2.0,19.0,1
514232,2.0,3.0,5.0,0.0,1.0,0.0,0.0,19.0,1
